mechanism,base_rate,group_gap,seed,aggregation,statistic,statistic_max,statistic_mean,statistic_weighted,statistic_mi,eo_gap,tpr_gap,fpr_gap,dp_gap,eo_base,dp_base,eo_gap_delta,dp_gap_delta
mcar,0.15,0.0,9,max,0.0035714285714285726,0.0035714285714285726,0.002857142857142861,0.0027395740905057737,0.0035714285714285726,0.19356187290969906,0.19356187290969906,0.10606060606060608,0.21200000000000008,0.19356187290969906,0.21200000000000008,0.0,0.0
mcar,0.15,0.05,0,max,0.0506540820163099,0.0506540820163099,0.028616250275505305,0.038370644442190405,0.01652965015975811,0.1457162921348315,0.1457162921348315,0.13043478260869557,0.08196470857841265,0.1513342696629213,0.09678405011076319,-0.00561797752808979,-0.014819341532350538
mcar,0.15,0.05,1,max,0.04973913043478262,0.04973913043478262,0.03721739130434783,0.04462680096901696,0.0478065885657582,0.15552995391705066,0.09092329323543191,0.15552995391705066,0.05990180032733228,0.15075769411029527,0.14959083469721768,0.004772259806755386,-0.0896890343698854
mcar,0.15,0.05,2,max,0.042152556918572365,0.042152556918572365,0.029749103942652334,0.03400385668149555,0.03376588657792097,0.1885024328707876,0.1885024328707876,0.16760676873489117,0.20337301587301593,0.16760676873489117,0.17460317460317454,0.02089566413589644,0.02876984126984139
mcar,0.15,0.05,3,max,0.046929632867132864,0.046929632867132864,0.030725524475524475,0.036884302976952624,0.024161464544923423,0.13154194657084828,0.13154194657084828,0.033846153846153804,0.11886690159934943,0.14888298703327607,0.15952832746001622,-0.017341040462427793,-0.04066142586066679
mcar,0.15,0.05,4,max,0.04670698924731183,0.04670698924731183,0.025616039426523296,0.03625486869869349,0.03777492599872688,0.09195402298850575,0.09195402298850575,0.0,0.13442113442113446,0.046934865900383094,0.08896658896658893,0.04501915708812265,0.045454545454545525
mcar,0.15,0.05,5,max,0.039617430020200364,0.039617430020200364,0.021489329540613705,0.028211110729772254,0.031663042200847945,0.19428571428571428,0.19428571428571428,0.055299539170506895,0.14988949166164356,0.17142857142857137,0.16998191681735986,0.02285714285714291,-0.020092425155716298
mcar,0.15,0.05,6,max,0.05178571428571428,0.05178571428571428,0.03785714285714285,0.04267309988062077,0.03502695115082601,0.22777777777777786,0.22777777777777786,0.042857142857142816,0.19600000000000006,0.21666666666666667,0.19200000000000006,0.011111111111111183,0.0040000000000000036
mcar,0.15,0.05,7,max,0.05276355100298763,0.05276355100298763,0.030142979086641063,0.03742307841539595,0.03562721172191192,0.13142857142857134,0.13142857142857134,0.02790395846852689,0.11199772014819032,0.12571428571428567,0.15474494157879737,0.005714285714285672,-0.04274722143060705
mcar,0.15,0.05,8,max,0.031792854801704365,0.031792854801704365,0.02146181579809899,0.02587997660191419,0.018406819827918787,0.3068783068783069,0.2005494505494505,0.3068783068783069,0.06419294990723556,0.25396825396825395,0.07012987012987015,0.05291005291005296,-0.00593692022263459
mcar,0.15,0.05,9,max,0.04285714285714286,0.04285714285714286,0.03035714285714286,0.033713054187192115,0.021909187238711086,0.1605351170568562,0.1605351170568562,0.07196969696969696,0.19600000000000006,0.19356187290969906,0.21200000000000008,-0.03302675585284287,-0.016000000000000014
mcar,0.15,0.1,0,max,0.09564247838093631,0.09564247838093631,0.05596452788113728,0.07516365835760049,0.0501018861640449,0.1457162921348315,0.1457162921348315,0.1159420289855072,0.0860132915743641,0.1513342696629213,0.09678405011076319,-0.00561797752808979,-0.010770758536399083
mcar,0.15,0.1,1,max,0.09634782608695652,0.09634782608695652,0.07290434782608696,0.0859640579710145,0.0930111991233252,0.14497734728948597,0.14497734728948597,0.0714285714285714,0.11882160392798691,0.15075769411029527,0.14959083469721768,-0.005780346820809301,-0.03076923076923077
mcar,0.15,0.1,2,max,0.08478469382603866,0.08478469382603866,0.05640365490433641,0.06529583258515448,0.0625918395178071,0.1450711839971166,0.1450711839971166,0.12248186946011286,0.15773809523809523,0.16760676873489117,0.17460317460317454,-0.02253558473777456,-0.016865079365079305
